,lncRNA,disease,pred,label,evidence,
42571,SERTAD4-AS1,DOID:3068,0.297934175,0,0,
42646,PARTICL,DOID:3068,0.297066748,0,0,
42782,IFNG-AS1,DOID:3068,0.295425236,0,0,
43442,SPRY4-IT1,DOID:3068,0.286069781,0,0,
43592,AGAP2-AS1,DOID:3068,0.284182161,0,1,
44305,TDRG1,DOID:3068,0.275102645,0,0,
44439,PARD6G-AS1,DOID:3068,0.273574084,0,0,
44556,MEG8,DOID:3068,0.272180587,0,0,
45096,CDR1-AS,DOID:3068,0.265305251,0,0,
45935,CASC15,DOID:3068,0.255146891,0,0,
45984,TRERNA1,DOID:3068,0.254576236,0,0,
46519,TP53TG1,DOID:3068,0.248821765,0,0,
46725,LINC00032,DOID:3068,0.246835098,0,0,
46854,PCA3,DOID:3068,0.245556414,0,0,
46913,LINC00687,DOID:3068,0.244958654,0,0,
46921,PANDAR,DOID:3068,0.244864404,0,0,
47689,LINC00583,DOID:3068,0.236812994,0,0,
47817,SOX2-OT,DOID:3068,0.235529989,0,0,
48490,SNHG1,DOID:3068,0.228427246,0,0,
48519,TP73-AS1,DOID:3068,0.22816509,0,1,
48663,TUSC7,DOID:3068,0.226521462,0,1,
48833,TUSC8,DOID:3068,0.224737272,0,0,
49426,TUG1,DOID:3068,0.218969092,0,1,
49835,SCHLAP1,DOID:3068,0.215154082,0,0,
49883,CASC2,DOID:3068,0.214594871,0,0,
49933,PCAT4,DOID:3068,0.214144245,0,0,
50487,ABALON,DOID:3068,0.208456412,0,0,
50495,SNHG11,DOID:3068,0.208347365,0,0,
50684,LINC01556,DOID:3068,0.206540227,0,0,
50700,LINC00511,DOID:3068,0.206393883,0,0,
50858,PRINS,DOID:3068,0.204820156,0,0,
51053,LINC00654,DOID:3068,0.20291543,0,0,
51733,LINC00336,DOID:3068,0.19609791,0,0,
51901,ZNF667-AS1,DOID:3068,0.194306791,0,0,
52327,LINC00629,DOID:3068,0.190323055,0,0,
52801,PISRT1,DOID:3068,0.185961202,0,0,
52821,DIO3OS,DOID:3068,0.185705885,0,0,
53597,EWSAT1,DOID:3068,0.17883566,0,0,
54341,HCCAT5,DOID:3068,0.173138037,0,0,
54553,BCAR4,DOID:3068,0.171404913,0,0,
54957,LINC01133,DOID:3068,0.168366358,0,0,
55474,LINC00467,DOID:3068,0.164698854,0,0,
55595,ZEB1-AS1,DOID:3068,0.163863167,0,0,
56039,ATE1-AS1,DOID:3068,0.160987973,0,0,
56086,BANCR,DOID:3068,0.160672635,0,0,
56339,APTR,DOID:3068,0.158805892,0,1,
56725,LINC00299,DOID:3068,0.156341448,0,0,
57070,LINC01531,DOID:3068,0.154198378,0,0,
57090,CCAT1,DOID:3068,0.154056638,0,0,
57976,LINC00474,DOID:3068,0.148822546,0,0,
58141,HAND2-AS1,DOID:3068,0.147921845,0,0,
58642,LINC-PINT,DOID:3068,0.144981399,0,0,
59625,LOXL1-AS1,DOID:3068,0.139875889,0,1,
59882,IL10RB-AS1,DOID:3068,0.138615847,0,0,
59935,LINC00602,DOID:3068,0.138439953,0,0,
59993,HCG4,DOID:3068,0.138183072,0,0,
60623,BCYRN1,DOID:3068,0.134899125,0,1,
61598,COPG2IT1,DOID:3068,0.129995599,0,0,
61716,HCG9,DOID:3068,0.12934956,0,0,
61759,LMCD1-AS1,DOID:3068,0.129142791,0,0,
63125,LUCAT1,DOID:3068,0.122636192,0,0,
63157,LINC00575,DOID:3068,0.122454382,0,0,
63218,LINC00963,DOID:3068,0.122165494,0,1,
63258,NRON,DOID:3068,0.121993758,0,0,
63482,GHET1,DOID:3068,0.120866127,0,0,
63777,HPN-AS1,DOID:3068,0.119506083,0,0,
63875,LINC00293,DOID:3068,0.118996881,0,0,
63926,SNHG4,DOID:3068,0.118773416,0,1,
64260,LINC01426,DOID:3068,0.11711476,0,0,
64294,ZFAS1,DOID:3068,0.116942428,0,0,
65207,HCP5,DOID:3068,0.113099113,0,0,
65231,KCNQ1OT1,DOID:3068,0.112986624,0,0,
65275,TP53COR1,DOID:3068,0.112781137,0,0,
66432,LINC01024,DOID:3068,0.108120769,0,0,
66437,PCGEM1,DOID:3068,0.10807965,0,0,
67216,GHRLOS,DOID:3068,0.104704261,0,0,
68555,LINC00942,DOID:3068,0.099619314,0,0,
69603,LINC-ROR,DOID:3068,0.095423035,0,1,
70030,H19,DOID:3068,0.093882434,0,1,
70350,LINC00479,DOID:3068,0.092633419,0,0,
70772,DISC2,DOID:3068,0.091126263,0,0,
71782,LINC00312,DOID:3068,0.087636866,0,0,
72274,LINC00974,DOID:3068,0.085921139,0,0,
72512,DISC1FP1,DOID:3068,0.084958971,0,0,
72725,CECR7,DOID:3068,0.084250443,0,0,
72748,NALT1,DOID:3068,0.0841868,0,0,
72852,RMST,DOID:3068,0.083810896,0,0,
73334,ESRG,DOID:3068,0.082126364,0,0,
73580,OIP5-AS1,DOID:3068,0.081290215,0,0,
73965,HOTTIP,DOID:3068,0.080122657,0,0,
74247,IGF2-AS,DOID:3068,0.079436809,0,0,
74503,LINC01235,DOID:3068,0.078593642,0,0,
75735,CTBP1-AS,DOID:3068,0.075456217,0,0,
76852,PCAT5,DOID:3068,0.072616331,0,0,
77098,TINCR,DOID:3068,0.072058082,0,0,
77300,DAOA-AS1,DOID:3068,0.071627937,0,0,
77502,RAD51-AS1,DOID:3068,0.071138121,0,0,
77753,LINC00473,DOID:3068,0.070487298,0,0,
77845,DBET,DOID:3068,0.070231684,0,0,
78069,PVT1,DOID:3068,0.06970989,0,0,
79055,LINC00319,DOID:3068,0.067757048,0,0,
79487,PWAR4,DOID:3068,0.066917025,0,0,
79676,GPR1-AS,DOID:3068,0.066575572,0,0,
79945,MHRT,DOID:3068,0.066032603,0,0,
80489,LINC01602,DOID:3068,0.065049656,0,0,
80526,PSORS1C3,DOID:3068,0.065001801,0,0,
80753,LINC00922,DOID:3068,0.064609051,0,0,
82339,DLEU2,DOID:3068,0.061911911,0,0,
82433,TSIX,DOID:3068,0.061756983,0,0,
82801,CBR3-AS1,DOID:3068,0.061114203,0,0,
83041,PICSAR,DOID:3068,0.060681425,0,0,
83058,EPB41L4A-AS1,DOID:3068,0.060655225,0,0,
83067,GNAS-AS1,DOID:3068,0.060635373,0,0,
83424,MEG3,DOID:3068,0.060110405,0,1,
83841,FMR1-AS1,DOID:3068,0.059533086,0,0,
84526,MIR137HG,DOID:3068,0.058569528,0,0,
84813,PRNCR1,DOID:3068,0.058168411,0,0,
84899,NCRUPAR,DOID:3068,0.058078729,0,1,
85055,CASC8,DOID:3068,0.057850741,0,0,
85109,VLDLR-AS1,DOID:3068,0.057784971,0,0,
85279,NBAT1,DOID:3068,0.057576705,0,1,
87325,LINC01098,DOID:3068,0.054950137,0,0,
87345,LINC00472,DOID:3068,0.054933414,0,0,
88225,DBH-AS1,DOID:3068,0.053791396,0,0,
88597,LINC00477,DOID:3068,0.053309176,0,0,
88809,XIST,DOID:3068,0.053004529,0,1,
90074,MIR100HG,DOID:3068,0.051241066,0,0,
90311,LINC01587,DOID:3068,0.050979204,0,0,
91412,WT1-AS,DOID:3068,0.049508095,0,0,
91559,EGOT,DOID:3068,0.049274225,0,0,
91928,KIRREL3-AS3,DOID:3068,0.04881943,0,0,
92023,ATXN8OS,DOID:3068,0.048714023,0,0,
92075,HOXA11-AS,DOID:3068,0.048648536,0,0,
92330,MINCR,DOID:3068,0.048346456,0,0,
92537,DSCR9,DOID:3068,0.048093788,0,0,
92974,JAZF1-AS1,DOID:3068,0.047422696,0,0,
93285,TEX41,DOID:3068,0.047003604,0,0,
93511,PTCSC3,DOID:3068,0.046735715,0,0,
93699,TTTY2,DOID:3068,0.046486542,0,0,
94411,THRIL,DOID:3068,0.045425843,0,0,
94440,MIR503HG,DOID:3068,0.045369182,0,0,
94564,C5orf66-AS1,DOID:3068,0.045175135,0,0,
95206,ADORA2A-AS1,DOID:3068,0.044255175,0,0,
95395,CCDC26,DOID:3068,0.043934021,0,0,
95640,HOTAIRM1,DOID:3068,0.043522451,0,1,
96240,LINC00271,DOID:3068,0.042528126,0,0,
96676,MYCNOS,DOID:3068,0.041772276,0,0,
97654,CARMN,DOID:3068,0.039718904,0,0,
98871,GSTT1-AS1,DOID:3068,0.03300301,0,0,
