lncRNA,disease,pred,label,evidence
IGF2-AS,DOID:7,0.982492208,1,0
ABALON,DOID:9408,0.982485116,0,0
HULC,DOID:3571,0.982484877,1,1
RAD51-AS1,DOID:1070,0.982479811,0,0
CDKN2B-AS1,DOID:0060083,0.982476592,1,0
TEX41,DOID:409,0.982466221,0,0
DBET,DOID:520,0.98245424,0,0
SPRY4-IT1,DOID:4159,0.982441008,0,0
HCCAT5,DOID:3571,0.98244065,1,0
NEAT1,DOID:1612,0.982428253,1,1
DISC2,DOID:2468,0.982421219,1,0
TUG1,DOID:706,0.982419372,1,0
IFNG-AS1,DOID:4045,0.982419252,0,0
MALAT1,DOID:10155,0.982416868,1,0
HOTAIR,DOID:2871,0.982409835,1,1
ZNF667-AS1,DOID:170,0.982407212,0,0
LINC01184,DOID:3118,0.982402146,0,0
MALAT1,DOID:707,0.982400656,1,1
H19,DOID:219,0.98240006,1,1
HNF1A-AS1,DOID:3571,0.982389152,1,0
PVT1,DOID:16,0.982364297,1,0
GSTT1-AS1,DOID:0050117,0.982355654,1,0
PCGEM1,DOID:3304,0.982337117,0,0
PVT1,DOID:305,0.982319891,1,0
TP73-AS1,DOID:4960,0.982298017,1,0
TP53TG1,DOID:4090,0.982297897,1,0
PCAT1,DOID:3119,0.982269287,1,0
SNHG12,DOID:2871,0.982267678,1,1
DSCR9,DOID:1287,0.982267678,0,0
LINCMD1,DOID:7,0.982242107,1,0
HULC,DOID:2531,0.982241333,1,0
FENDRR,DOID:10348,0.982227862,0,0
MIR503HG,DOID:1287,0.982222676,0,0
CRNDE,DOID:0060116,0.982165515,0,0
HOTAIR,DOID:1793,0.982152879,1,1
KCNQ1OT1,DOID:9408,0.982145309,1,1
TUG1,DOID:2531,0.982145309,1,0
ABALON,DOID:3070,0.982127666,0,0
B3GALT5-AS1,DOID:14566,0.982112646,0,0
LINC01098,DOID:14330,0.982098162,0,0
MIR194-2HG,DOID:162,0.982094824,1,0
HAND2-AS1,DOID:769,0.982062399,1,0
XACT,DOID:987,0.982055366,0,0
UCA1,DOID:10534,0.98205179,1,1
PCAT1,DOID:848,0.982017219,0,0
TP53COR1,DOID:9976,0.981923997,0,0
GAS5,DOID:0050615,0.981912374,1,0
PARTICL,DOID:4090,0.981890738,0,0
MINCR,DOID:8986,0.981879056,0,0
LINC00961,DOID:4450,0.981862247,0,0
TP53COR1,DOID:4,0.981855512,1,0
BANCR,DOID:3342,0.981848955,0,0
IL12A-AS1,DOID:3312,0.981834352,0,0
CBR3-AS1,DOID:3213,0.981829047,0,0
TUSC7,DOID:2596,0.981799304,0,0
GHET1,DOID:3119,0.981777787,1,0
LINC00675,DOID:4074,0.981770456,1,0
NEAT1,DOID:9119,0.981770098,1,1
H19,DOID:0060083,0.981756449,1,0
DANCR,DOID:0080001,0.981744051,1,1
GATA3-AS1,DOID:114,0.981696546,0,0
PCA3,DOID:14566,0.981683135,1,0
GACAT2,DOID:0060040,0.981681764,0,0
ATE1-AS1,DOID:4,0.981660366,1,0
TUSC7,DOID:12603,0.981637955,0,0
DISC2,DOID:162,0.981584787,1,0
CYTOR,DOID:684,0.981570542,1,1
MALAT1,DOID:0060058,0.981569529,1,0
BANCR,DOID:1324,0.981558025,1,1
JAZF1-AS1,DOID:9884,0.981544256,0,0
LINC01588,DOID:5572,0.98151201,0,0
CCAT1,DOID:305,0.981483757,1,0
MALAT1,DOID:2531,0.981475949,1,0
MHRT,DOID:1492,0.981467783,0,0
HOTAIR,DOID:10155,0.981465936,1,0
LINC01184,DOID:3304,0.981452703,0,0
C1QTNF9B-AS1,DOID:1787,0.981443763,0,0
H19,DOID:3571,0.981417239,1,1
LINC00271,DOID:9351,0.981417,1,0
SNHG12,DOID:0060689,0.981408417,0,0
COL18A1-AS1,DOID:9993,0.981404364,0,0
PTCSC2,DOID:162,0.981404066,1,0
MEG3,DOID:3347,0.981397629,1,1
SNHG1,DOID:14566,0.981380939,1,0
GAS5,DOID:10534,0.981349528,1,1
PCAT1,DOID:0050686,0.981340468,1,0
HULC,DOID:707,0.981328368,1,0
CDKN2B-AS1,DOID:3393,0.981302679,1,0
FENDRR,DOID:1229,0.981298983,0,0
BANCR,DOID:184,0.981288791,1,0
ZEB1-AS1,DOID:1749,0.981279612,1,1
LINC00675,DOID:162,0.981279492,1,0
IL12A-AS1,DOID:0050951,0.981274426,0,0
CRNDE,DOID:1205,0.981266499,0,0
SAMMSON,DOID:2468,0.981259525,0,0
PCA3,DOID:3892,0.981254816,0,0
PSORS1C3,DOID:37,0.981254101,1,0
LINC00687,DOID:17,0.981251597,0,0
PARTICL,DOID:1107,0.981247485,0,0
HOTAIRM1,DOID:9119,0.981246412,1,1
PRINS,DOID:16,0.981246054,1,0
HCG4,DOID:1883,0.981215119,0,0
CDKN2B-AS1,DOID:10283,0.981183648,1,1
C5orf66-AS2,DOID:9884,0.98117733,0,0
MIR503HG,DOID:170,0.981165767,0,0
B3GALT5-AS1,DOID:4467,0.981162786,0,0
DBH-AS1,DOID:114,0.981150031,0,0
LINC00961,DOID:9970,0.981118262,1,0
LINC01426,DOID:14566,0.98111707,1,0
HAND2-AS1,DOID:4961,0.98109746,0,0
LINC01531,DOID:6713,0.981034458,0,0
IL12A-AS1,DOID:178,0.981033444,1,0
MALAT1,DOID:3910,0.981021166,1,1
CADM3-AS1,DOID:5719,0.981019437,0,0
LINC00273,DOID:4090,0.981013834,0,0
JAZF1-AS1,DOID:4,0.981003642,1,0
LINC00299,DOID:4,0.98092711,1,0
MALAT1,DOID:11934,0.980919063,1,0
H19,DOID:686,0.980903804,1,0
LINC00271,DOID:9352,0.980893254,1,1
MEG3,DOID:2154,0.980888546,1,1
LINCMD1,DOID:4676,0.980883062,1,0
CCAT1,DOID:14566,0.98087436,1,0
LINC00583,DOID:5093,0.980858743,1,0
GACAT2,DOID:3620,0.980840147,0,0
GACAT2,DOID:162,0.980813086,1,0
CASC8,DOID:8986,0.980799556,0,0
PSORS1C3,DOID:3307,0.980752647,0,0
MIR155HG,DOID:13378,0.98068285,0,0
LINC00687,DOID:0050745,0.980658174,0,0
HULC,DOID:2876,0.980582058,0,0
GATA3-AS1,DOID:1612,0.980573833,0,0
NPTN-IT1,DOID:12294,0.980567038,0,0
TP73-AS1,DOID:0050908,0.980558932,0,0
LINC00163,DOID:0080005,0.980553865,0,0
MINCR,DOID:3121,0.980549753,1,1
MIR100HG,DOID:3953,0.980545759,0,0
PVT1,DOID:0050615,0.980488777,1,0
GAS5,DOID:3996,0.980438352,1,0
TP73-AS1,DOID:14566,0.980432153,1,0
TSIX,DOID:4074,0.980431914,0,0
CDKN2B-AS1,DOID:3996,0.980428815,1,0
LINC00261,DOID:594,0.980416715,0,0
LINC01080,DOID:688,0.980395854,0,0
PVT1,DOID:3996,0.980389297,1,0
MIR100HG,DOID:863,0.980365157,1,0
NPTN-IT1,DOID:0050687,0.980365038,1,0
LINC00687,DOID:684,0.980364919,1,0
CASC2,DOID:10155,0.980348885,1,0
SNHG11,DOID:14250,0.980333388,0,0
PRNCR1,DOID:1398,0.980333269,0,0
LINC00629,DOID:14330,0.980331481,0,0
KIRREL3-AS3,DOID:1612,0.980318248,0,0
XIST,DOID:1319,0.980304897,0,0
PCAT4,DOID:2151,0.980290234,0,0
LINC00032,DOID:0050013,0.9802742,0,0
PCAT1,DOID:684,0.980258226,1,1
UCA1,DOID:4450,0.980245531,1,1
PCAT4,DOID:0050815,0.980234563,0,0
LINC00675,DOID:3459,0.980227232,1,0
PCAT1,DOID:686,0.980227232,1,0
LINCMD1,DOID:0080015,0.980227232,0,0
LINC00575,DOID:688,0.980226159,0,0
H19,DOID:0060122,0.980214477,1,0
ABALON,DOID:4230,0.980198026,0,0
NPTN-IT1,DOID:686,0.980196178,1,0
NCRUPAR,DOID:3119,0.98019594,1,0
IL12A-AS1,DOID:289,0.980192602,0,0
MIR4435-2HG,DOID:3069,0.980184257,0,0
AFAP1-AS1,DOID:305,0.980182767,1,0
THRIL,DOID:7,0.980169237,1,0
UCA1,DOID:193,0.980134189,1,0
NPTN-IT1,DOID:2914,0.980133295,0,0
VLDLR-AS1,DOID:3910,0.980032206,0,0
GAS5,DOID:1542,0.979981482,0,0
PTCSC3,DOID:10584,0.979939342,0,0
PCA3,DOID:0110408,0.979939103,0,0
XIST,DOID:2998,0.979876697,1,1
PVT1,DOID:15,0.979865491,1,0
DISC2,DOID:0060119,0.979843736,1,0
PTCSC3,DOID:162,0.979813516,1,0
TUG1,DOID:3996,0.97981298,1,0
LOXL1-AS1,DOID:1883,0.979806781,0,0
CAHM,DOID:5672,0.979803681,1,0
HCP5,DOID:3571,0.979801059,1,0
CECR7,DOID:1428,0.979798675,0,0
HOTAIRM1,DOID:193,0.979790747,0,0
KCNQ1OT1,DOID:0060072,0.97979033,1,0
HAS2-AS1,DOID:3393,0.979785621,0,0
LINC-PINT,DOID:11612,0.979784846,0,0
TDRG1,DOID:10348,0.979766846,0,0
TUG1,DOID:687,0.979762852,1,1
MEG3,DOID:7,0.979737997,1,0
CYTOR,DOID:0050686,0.979737759,1,0
TSIX,DOID:6713,0.979703248,0,0
TRERNA1,DOID:1229,0.979694426,0,0
GAS5,DOID:848,0.979678154,1,0
PRNCR1,DOID:48,0.979672134,1,0
NEAT1,DOID:5672,0.979625642,1,0
HAND2-AS1,DOID:8893,0.979625642,0,0
LINC00479,DOID:4676,0.979615688,0,0
HLA-F-AS1,DOID:630,0.979574502,1,0
HOTTIP,DOID:3008,0.979563534,1,0
HLA-F-AS1,DOID:225,0.979549348,1,0
CRNDE,DOID:0050687,0.979549229,1,0
HOXA11-AS,DOID:4,0.97951436,1,0
HCG4,DOID:3590,0.979455829,0,0
DLEU2,DOID:0050865,0.979432821,0,0
DAOA-AS1,DOID:13317,0.979418635,0,0
HCCAT5,DOID:0050686,0.979395747,1,0
FMR1-AS1,DOID:5844,0.979389846,0,0
