,lncRNA,disease,pred,label,evidence,
52181,CTBP1-AS,DOID:10534,0.1918834,0,0,
52254,DAOA-AS1,DOID:10534,0.191027582,0,0,
53361,HYMAI,DOID:10534,0.180773884,0,0,
53374,HOTAIRM1,DOID:10534,0.180664361,0,1,
53861,LINC00319,DOID:10534,0.176722944,0,0,
54268,LINC01081,DOID:10534,0.173677072,0,0,
55182,FMR1-AS1,DOID:10534,0.166769177,0,0,
55373,PWAR4,DOID:10534,0.165586308,0,0,
56211,GSTT1-AS1,DOID:10534,0.159756631,0,0,
56241,SOX2-OT,DOID:10534,0.159565791,0,0,
56421,WT1-AS,DOID:10534,0.158320963,0,1,
56476,MIR194-2HG,DOID:10534,0.158025622,0,0,
56618,ABALON,DOID:10534,0.15703167,0,0,
56740,NBAT1,DOID:10534,0.15626961,0,1,
56840,LINC01602,DOID:10534,0.155608445,0,0,
57013,HCG4,DOID:10534,0.154562831,0,0,
58424,TTTY15,DOID:10534,0.146224946,0,0,
59386,NFIA-AS1,DOID:10534,0.141236156,0,0,
59690,ERICH1-AS1,DOID:10534,0.139560476,0,0,
59812,MIR99AHG,DOID:10534,0.138953805,0,0,
61113,MIF-AS1,DOID:10534,0.132399321,0,1,
61514,LINC00974,DOID:10534,0.130404577,0,1,
61828,GHRLOS,DOID:10534,0.12870647,0,0,
62417,MIR4435-2HG,DOID:10534,0.125827059,0,1,
62691,LINC00575,DOID:10534,0.124699987,0,0,
62843,MCHR2-AS1,DOID:10534,0.124042831,0,0,
63238,HULC,DOID:10534,0.122077003,0,1,
63679,APTR,DOID:10534,0.119978517,0,0,
63860,NBR2,DOID:10534,0.11907696,0,0,
63952,PARTICL,DOID:10534,0.118617959,0,0,
64158,DISC2,DOID:10534,0.117538609,0,0,
65895,DSCR10,DOID:10534,0.110221021,0,0,
65922,HNF1A-AS1,DOID:10534,0.110132493,0,1,
66576,LINC01531,DOID:10534,0.107405558,0,0,
66871,MIR17HG,DOID:10534,0.106136762,0,0,
67000,MYCNOS,DOID:10534,0.105646193,0,0,
67090,RAD51-AS1,DOID:10534,0.105264902,0,0,
67302,LINC01235,DOID:10534,0.104339458,0,0,
67423,LINC01556,DOID:10534,0.103868783,0,0,
67679,CARMN,DOID:10534,0.103015952,0,0,
67730,ATE1-AS1,DOID:10534,0.102848224,0,0,
67781,NEAT1,DOID:10534,0.102675691,0,1,
67912,B3GALT5-AS1,DOID:10534,0.10223899,0,1,
67998,C5orf66-AS2,DOID:10534,0.101847962,0,0,
68192,LINC00273,DOID:10534,0.101002447,0,0,
68282,KIRREL3-AS3,DOID:10534,0.100651436,0,0,
68658,PCA3,DOID:10534,0.099253543,0,0,
68707,CASC15,DOID:10534,0.099069729,0,1,
68966,MIR100HG,DOID:10534,0.098021142,0,1,
69244,SAMMSON,DOID:10534,0.096834131,0,0,
69316,ZFAS1,DOID:10534,0.09651082,0,1,
70092,LINC00472,DOID:10534,0.093551509,0,1,
70152,C1QTNF9B-AS1,DOID:10534,0.093362674,0,0,
70586,SNHG1,DOID:10534,0.091837101,0,1,
71210,HLA-F-AS1,DOID:10534,0.089616969,0,0,
71373,LINCMD1,DOID:10534,0.088937074,0,0,
71394,TSIX,DOID:10534,0.088866532,0,0,
72276,XACT,DOID:10534,0.085914664,0,0,
72428,LINC00479,DOID:10534,0.085327365,0,0,
72576,PCAT4,DOID:10534,0.084739156,0,0,
72866,LINC-PINT,DOID:10534,0.083771549,0,1,
73435,IL10RB-AS1,DOID:10534,0.081795447,0,0,
74316,LINC00942,DOID:10534,0.07924401,0,0,
74524,OLMALINC,DOID:10534,0.078533791,0,0,
75432,ESRG,DOID:10534,0.076238029,0,0,
76420,SCHLAP1,DOID:10534,0.073856421,0,0,
77177,CDR1-AS,DOID:10534,0.071888529,0,0,
77578,LINC01024,DOID:10534,0.070939198,0,0,
77650,BLACAT1,DOID:10534,0.070726782,0,1,
77667,VLDLR-AS1,DOID:10534,0.070693448,0,0,
77721,IFNG-AS1,DOID:10534,0.070565537,0,0,
77940,NCRUPAR,DOID:10534,0.070004709,0,0,
78187,ADORA2A-AS1,DOID:10534,0.069467381,0,0,
79093,MEG8,DOID:10534,0.067681953,0,0,
80009,LINC00299,DOID:10534,0.065901034,0,0,
80140,LINC00583,DOID:10534,0.065659225,0,0,
80908,CAHM,DOID:10534,0.064319693,0,0,
81002,PICSAR,DOID:10534,0.064154983,0,0,
81330,PISRT1,DOID:10534,0.063545428,0,0,
81436,TDRG1,DOID:10534,0.063357949,0,1,
83250,HAS2-AS1,DOID:10534,0.060382999,0,0,
83603,KCTD21-AS1,DOID:10534,0.059861559,0,0,
84462,COPG2IT1,DOID:10534,0.058671847,0,0,
84470,BCAR4,DOID:10534,0.058656011,0,1,
84478,TUG1,DOID:10534,0.058642101,0,1,
84836,LINC00687,DOID:10534,0.05813875,0,0,
85916,TTTY2,DOID:10534,0.05675742,0,0,
86117,ATXN8OS,DOID:10534,0.056485888,0,0,
86382,CECR7,DOID:10534,0.056151867,0,0,
86576,HAND2-AS1,DOID:10534,0.055902645,0,1,
86963,LINC01133,DOID:10534,0.055420406,0,1,
88274,HAR1A,DOID:10534,0.053715296,0,0,
88576,LINC00922,DOID:10534,0.053343318,0,0,
89763,MHRT,DOID:10534,0.051700912,0,1,
91236,DISC1FP1,DOID:10534,0.049751487,0,0,
91368,TP53COR1,DOID:10534,0.04955883,0,0,
91401,LINC01387,DOID:10534,0.049525473,0,0,
91737,PTCSC3,DOID:10534,0.049057852,0,1,
91862,TP73-AS1,DOID:10534,0.04889873,0,1,
92284,AGAP2-AS1,DOID:10534,0.04839864,0,1,
92936,NPSR1-AS1,DOID:10534,0.047484923,0,0,
92951,FBXW7-AS1,DOID:10534,0.047462419,0,0,
93130,LINC00163,DOID:10534,0.04720955,0,0,
94603,PCAT5,DOID:10534,0.045126878,0,0,
94822,LMCD1-AS1,DOID:10534,0.044799518,0,0,
95171,GNG12-AS1,DOID:10534,0.04429967,0,0,
95370,LINC00474,DOID:10534,0.043968953,0,0,
95549,AFAP1-AS1,DOID:10534,0.043669995,0,1,
96436,PRINS,DOID:10534,0.042236805,0,0,
96646,LINC00675,DOID:10534,0.041817892,0,1,
97220,NUP50-AS1,DOID:10534,0.040717438,0,0,
98007,TEX41,DOID:10534,0.038790245,0,0,
98068,LINC00032,DOID:10534,0.038591616,0,0,
98499,LINC00293,DOID:10534,0.036803849,0,0,
98804,TP53TG1,DOID:10534,0.034550451,0,1,
